,x,y,labels
0,59.91053,-3.9096515,aaron
1,24.819695,59.48313,ab
2,-9.258846,-9.619778,abandon
3,-31.840603,-1.4639581,abandoned
4,11.9789915,51.127193,abby
5,-19.235914,24.013483,abc
6,5.544479,38.834293,abe
7,26.773617,60.749676,aber
8,-72.30316,-5.2682514,abercrombie
9,-11.262817,-17.71941,abilities
10,-13.954567,-39.875584,ability
11,59.437492,15.520159,abit
12,45.76691,-41.501167,able
13,-25.226202,-29.909575,abortion
14,-36.484653,-22.454967,abroad
15,-6.963384,-11.503364,absence
16,25.667221,35.07019,absent
17,-5.320006,-27.99595,absolute
18,34.636105,-39.74976,absolutely
19,11.394806,17.132092,absolutly
20,-10.90297,-21.793413,abstract
21,-11.255033,4.7100954,absurd
22,61.26357,14.323336,abt
23,-29.876451,-27.56996,abuse
24,-32.4304,-27.027153,abused
25,-1.0193834,22.223034,ac
26,20.736492,5.222732,academic
27,-6.7581677,25.941828,academy
28,-46.08029,35.024292,accent
29,-44.737648,35.058712,accents
30,15.872346,-46.237152,accept
31,-16.338022,-25.617603,acceptable
32,-19.727737,-25.382423,acceptance
33,14.512932,-46.890682,accepted
34,-19.203571,-25.018614,accepting
35,-6.463748,-52.419064,access
36,14.093611,-11.682768,accident
37,14.170037,-13.216084,accidentally
38,-4.444648,7.536366,accidently
39,-39.52577,-18.727083,accidents
40,31.685244,37.922672,accompanied
41,35.256866,35.320896,accompany
42,-9.2208605,-11.715111,accomplish
43,-13.178156,-8.065378,accomplished
44,-12.715792,-11.148243,accomplishment
45,20.16505,-45.307186,according
46,7.9861846,-36.665596,account
47,-2.0683136,-38.589977,accounts
48,-9.429089,-24.470743,accurate
49,-31.110468,-24.741968,accused
50,19.137953,3.051546,ace
51,-57.067184,-8.929033,ache
52,-57.031418,-8.913948,aches
53,-13.682184,-41.756176,achieve
54,-16.08321,-13.754359,achieved
55,-16.521475,-13.30761,achievement
56,-57.04691,-8.953793,aching
57,-39.001568,-10.919059,acid
58,10.788012,17.407541,ack
59,-18.876074,-24.737371,acknowledge
60,-20.606976,42.805443,acoustic
61,-16.733068,53.329266,acquired
62,32.66835,-46.326176,act
63,0.3949963,6.909305,acted
64,35.539185,-37.324917,acting
65,18.154682,-42.86729,action
66,-16.155043,-31.243109,actions
67,-10.786993,-31.670689,active
68,-6.1619935,-32.064655,activities
69,-6.189192,-32.057457,activity
70,-3.988038,57.583405,actor
71,-3.9714108,57.528446,actors
72,-4.0697327,57.692837,actress
73,13.944434,-43.972664,acts
74,19.862803,-40.156353,actual
75,53.880142,21.754435,actualli
76,54.685345,-39.073383,actually
77,10.145567,18.58,actualy
78,8.97743,17.681715,acutally
79,50.39026,36.69536,ad
80,27.915545,42.7832,ada
81,61.742958,-4.089938,adam
82,-2.1433601,49.53889,adams
83,38.539207,-42.934,add
84,9.685272,-39.234776,added
85,-67.19705,10.379169,addict
86,12.175614,10.107259,addicted
87,-42.452736,-14.800948,addiction
88,-17.398863,16.799397,addictive
89,4.6210747,-39.63608,adding
90,-6.242078,-39.85631,addition
91,-6.720762,-36.38157,additional
92,8.252432,-36.32815,address
93,-19.894363,-22.893826,addressed
94,0.8764751,-34.705177,addresses
95,-18.489471,-12.879421,adds
96,-71.2571,-3.1692293,adidas
97,-17.720016,15.238239,adieu
98,22.947256,26.688929,adios
99,-32.604115,3.213358,adjust
100,-10.331211,40.394268,admin
101,-44.811783,-29.597696,administration
102,-10.7134285,40.485683,administrator
103,-7.00314,-13.569033,admire
104,25.528292,-47.465385,admit
105,-13.10412,0.68904495,admitted
106,26.762089,13.522706,adn
107,-4.1776676,39.15102,adopted
108,6.6456356,34.48738,adorable
109,2.2962768,-12.8466425,adore
110,22.839294,38.45272,adrian
111,8.424614,48.751102,adrienne
112,3.1053953,-38.383736,ads
113,-10.091686,-28.02751,adult
114,-10.161143,-27.996986,adults
115,-23.804337,7.4156375,advance
116,-3.8584123,-36.487354,advanced
117,-10.265774,-41.652588,advantage
118,-26.839434,32.204876,adventure
119,-25.810957,31.531086,adventures
120,-0.759587,-35.347687,advertising
121,25.11258,-46.295612,advice
122,-9.3651905,0.5939194,advise
123,-13.299254,0.5383228,affair
124,-19.953987,-23.004827,affairs
125,-14.80071,-33.18433,affect
126,-14.841058,-33.397057,affected
127,-11.968927,-15.073257,affection
128,-12.731993,8.788641,affectionately
129,-18.803194,-16.80002,affects
130,-3.9472067,-46.067894,afford
131,-39.89703,-25.393944,afghanistan
132,-29.0974,44.842697,afi
133,-20.857882,-11.817355,aforementioned
134,23.351452,-52.52391,afraid
135,-43.387104,39.30997,africa
136,-39.605476,-28.351103,african
137,56.33936,16.9707,aft
138,52.53847,34.197144,afta
